index,caseID,filename
43,804,Copy of 804 MATH EA 804 edited.srt.txt
44,205,Copy of 205 ENS ECYA 205edited.srt.txt
45,1382,Copy of 1382 GEN_MC_1382_Video_Recording_A_edited.srt.txt
46,213,Copy of 213 GEN MC 213edited.srt.txt
47,1835,Copy of 1835 SCI_EA_1835_Video_Recording_A_edited.srt.txt
48,157,Copy of 157 LRLA EMC 157.srt.txt
49,981,Copy of 981 MATH AYA 981 edited.srt.txt
50,206,Copy of 206 GEN EC 206edited.srt.txt
51,096,Copy of 096 LRLAEMC096.srt.txt
52,082,Copy of 082 ELAEA082.srt.txt
53,1071,Copy of 1071 SCI AYA 1071edited.srt.txt
54,075,Copy of 075 PE EMC 075.srt.txt
55,122 ,Copy of 122B CTE EAYA 122 B edited.srt.txt
56,244 ,Copy of 244B SCI EA 244 Bedited.srt.txt
57,026,Copy of 026 GEN MC 026edited.srt.txt
58,020,Copy of 020 ELAEA020.srt.txt
59,005,Copy of 005 WL_EAYA_005_25_FRE 005 edited.srt.txt
60,142,Copy of 142 GEN EC 142.srt.txt
61,061,Copy of 061 WL_EAYA_061_25_LAS 061edited.srt.txt
62,029 ,Copy of 029B LM ECYA 029Bedited.srt.txt
63,274 ,Copy of 274A SCI EA 274 Aedited.srt.txt
64,1064,Copy of 1064 SCI AYA 1064edited.srt.txt
65,027,Copy of 027 ELAAYA027.srt.txt
66,098,Copy of 098 MUSIC EMC 098.srt.txt
67,214,Copy of 214 HE EAYA 214 edited.srt.txt
68,1375,Copy of 1375 GEN_MC_1375_Video_Recording_A_edited.srt.txt
69,081,Copy of 081 ARTEMC081.srt.txt
70,1026,Copy of 1026 SCI AYA 1026edited.srt.txt
71,148,Copy of 148 GEN MC 148 edited.srt.txt
72,010,Copy of 010 SCECYA010.srt.txt
73,160,Copy of 160 SCI AYA 160.srt.txt
74,203,Copy of 203 SSH AYA 203edited.srt.txt
75,841,Copy of 841 SCI EA 841 edited.srt.txt
76,068,Copy of 068 GEN MC 068 edited.srt.txt
77,839,Copy of 839 SCI EA 839 edited.srt.txt
78,048,Copy of 048 GEN EC 048edited.srt.txt
79,265,Copy of 265 MATH EA 265edited.srt.txt
80,135,Copy of 135 SC ECYA 135 edited.srt.txt
81,106,Copy of 106 SCI EA 106.srt.txt
82,262 ,Copy of 262A SCI EA 262 Aedited.srt.txt
83,001,Copy of 001 ENLEAYA001.srt.txt
84,202,Copy of 202 MUSIC EMC 202edited.srt.txt
85,111,Copy of 111 MATH AYA 111edited.srt.txt
86,114,Copy of 114 ELA AYA 114edited.srt.txt
87,120,Copy of 120 MATH EA 120edited.srt.txt
88,123,Copy of 123 WL_EAYA_123_25_FRE 123 edited.srt.txt
89,134,Copy of 134 MATH AYA 134 edited.srt.txt
90,131,Copy of 131 ELA AYA 131.srt.txt
91,212,Copy of 212 WL_EAYA_212_25_LAS 212 edited.srt.txt
92,1069,Copy of 1069 SCI AYA 1069edited.srt.txt
93,021,Copy of 021 SSH EA 021edited.srt.txt
94,261,Copy of 261 MATH AYA 261edited.srt.txt
95,129,Copy of 129 LRLA EMC 129edited.srt.txt
96,171,Copy of 171 ENS ECYA 171.srt.txt
97,1057,Copy of 1057 SCI AYA 1057edited.srt.txt
98,090,Copy of 090 SCI EA 090.srt.txt
99,014 ,Copy of 014A LMECYA014A.srt.txt
100,177,Copy of 177 SC ECYA 177.srt.txt
101,031,Copy of 031 SCIAYA031.srt.txt
102,112,Copy of 112 MUSIC EAYA 112edited.srt.txt
103,191,Copy of 191 LRLA EMC 191edited.srt.txt
104,146,Copy of 146 ELA AYA 146 edited.srt.txt
105,032,Copy of 032 ENS ECYA 032.srt.txt
106,460,Copy of 460 GEN EC 460 edited.srt.txt
107,066,Copy of 066 ENS ECYA 066 edited.srt.txt
108,1366,Copy of 1366 GEN_EC_1366_Video_Recording_A_edited.srt.txt
109,154 ,Copy of 154A CTE EAYA 154 A.srt.txt
110,1857,Copy of 1857 SCI_EA_1857_Video_Recording_A edited.srt.txt
111,842,Copy of 842 SCI EA 842edited.srt.txt
112,448,Copy of 448 GEN EC 448 edited.srt.txt
113,812,Copy of 812 MATH EA 812 edited.srt.txt
114,204,Copy of 204 LRLA EMC 204.srt.txt
115,606,Copy of 606 GEN MC 606edited.srt.txt
116,846,Copy of 846 SCI EA 846edited.srt.txt
117,034,Copy of 034 GENEC034.srt.txt
118,065 ,Copy of 065B MUSIC EAYA 065 B.srt.txt
119,597,Copy of 597 GEN EC 597edited.srt.txt
120,221,Copy of 221 ELA AYA 221edited.srt.txt
121,595,Copy of 595 GEN EC 595edited.srt.txt
122,151 ,Copy of 151B ART EMC 151 B.srt.txt
123,826,Copy of 826 SCI EA 826 edited.srt.txt
124,122 ,Copy of 122A CTE EAYA 122 A.srt.txt
125,024,Copy of 024 MUSIC EAYA 024.srt.txt
126,245,Copy of 245 SCI AYA 245edited.srt.txt
127,093,Copy of 093 GEN EC 093.srt.txt
128,1078,Copy of 1078 SCI AYA 1078edited.srt.txt
129,310,Copy of 310 MATH EA 310 edited.srt.txt
130,216,Copy of 216 LM ECYA 216edited.srt.txt
131,055,Copy of 055 ENL_EMC_055_25_LAS 055 edited.srt.txt
132,1380,Copy of 1380 GEN_MC_1380_Video_Recording_A_edited.srt.txt
133,190,Copy of 190 ENL EAYA 190edited.srt.txt
134,064 ,Copy of 064B LRLA EMC 064 B.srt.txt
135,1837,Copy of 1837 SCI_EA_1837_Video_Recording_A_edited.srt.txt
136,1046,Copy of 1046 SCI AYA 1046edited.srt.txt
137,108 ,Copy of 108B ART EAYA 108 B.srt.txt
138,825,Copy of 825 SCI EA 825 edited.srt.txt
139,153,Copy of 153 ENS ECYA 153 edited.srt.txt
